,EntryID,Reaction,ECNumber,UniProtKB_AC,Tissue,Organism,Temperature,pH,Buffer,CellularLocation,Enzyme Variant,Enzymename,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
13,24365,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
14,24366,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
15,24370,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P29848,-,Salmonella typhimurium,-,-, , , , , , , , , , , , , , , , , , , , , , , 
16,24374,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,-,-, , , , , , , , , , , , , , , , , , , , , , , 
17,24377,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
18,24378,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
19,61682,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q93244,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
20,61683,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O45679,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
21,61684,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O01592,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
22,61695,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q93244,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
23,61696,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O45679,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
24,61697,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O01592,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
25,61710,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q93244,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
26,61711,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O45679,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
27,61712,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O01592,-,Caenorhabditis elegans,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
28,66266,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P37887,-,Bacillus subtilis,30.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
29,66267,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,O05393,-,Bacillus subtilis,30.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
30,66268,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P37887,-,Bacillus subtilis,30.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
31,66269,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47, ,-,Bacillus subtilis,30.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
32,66847,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,W5S3I4,-,Leucaena leucocephala,-,7.5, , , , , , , , , , , , , , , , , , , , , , , 
33,67357,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,F4K5T2,-,Arabidopsis thaliana,50.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
34,72158,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q43153,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
35,72159,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q43153,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
36,72160,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q00834,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
37,72161,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P32260,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
38,72171,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q00834,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
39,72172,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P32260,leaf,Spinacia oleracea,26.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
0,3242,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,P00935,-,Escherichia coli,25.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
1,22174,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q9ZHG9,-,Synechocystis sp.,30.0,7.3, , , , , , , , , , , , , , , , , , , , , , , 
2,24260,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3, ,-,Streptococcus mutans,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
3,24267,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8G9F8,-,Streptococcus salivarius,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
4,24268,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8G9F7,-,Streptococcus oralis,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
5,24269,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8G9F6,-,Streptococcus gordonii,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
6,24270,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8G9F5,-,Streptococcus sobrinus,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
7,24271,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8L0M8,-,Streptococcus anginosus,37.0,7.6, , , , , , , , , , , , , , , , , , , , , , , 
8,31829,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.2.1.22,P32582,-,Saccharomyces cerevisiae,37.0,8.6, , , , , , , , , , , , , , , , , , , , , , , 
9,31834,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.2.1.22,P32582,-,Saccharomyces cerevisiae,37.0,8.6, , , , , , , , , , , , , , , , , , , , , , , 
10,31840,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.2.1.22,P32582,-,Saccharomyces cerevisiae,37.0,8.6, , , , , , , , , , , , , , , , , , , , , , , 
11,31843,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.2.1.22,P32582,-,Saccharomyces cerevisiae,37.0,8.6, , , , , , , , , , , , , , , , , , , , , , , 
12,47200,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,Q8KVU4,-,Lactobacillus delbrueckii subsp. bulgaricus,37.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
13,47416,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3, ,-,Bacillus sp.,50.0,9.5, , , , , , , , , , , , , , , , , , , , , , , 
14,55254,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,P53780,leaf,Arabidopsis thaliana,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
15,55258,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,P53780,leaf,Arabidopsis thaliana,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
16,55259,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,P53780,leaf,Arabidopsis thaliana,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
17,55260,H2O + L-Cystathionine = NH3 + Pyruvate + L-Homocysteine,4.4.1.3,P53780,leaf,Arabidopsis thaliana,30.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
0,16638,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q58635,-,Methanocaldococcus jannaschii,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
1,16639,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q58635,-,Methanocaldococcus jannaschii,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
2,16640,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O26708,-,Methanothermobacter thermautotrophicus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
3,16641,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,O26708,-,Methanothermobacter thermautotrophicus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
4,16642,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,P16659,-,Escherichia coli,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
5,16643,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,P16659,-,Escherichia coli,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
6,16644,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q6N5P6,-,Rhodopseudomonas palustris,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
7,16645,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q6N5P6,-,Rhodopseudomonas palustris,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
8,16646,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O66690,-,Aquifex aeolicus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
9,16647,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,O66690,-,Aquifex aeolicus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
10,16648,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q9RUW4,-,Deinococcus radiodurans,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
11,16649,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q9RUW4,-,Deinococcus radiodurans,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
12,16650,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q9L4Q8,-,Clostridium sticklandii,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
13,16651,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q9L4Q8,-,Clostridium sticklandii,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
14,16652,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q5SM28,-,Thermus thermophilus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
15,16653,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q5SM28,-,Thermus thermophilus,60.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
16,16654,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O51363,-,Borrelia burgdorferi,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
17,16655,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,O51363,-,Borrelia burgdorferi,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
18,16656,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q11Q45,-,Cytophaga hutchinsonii,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
19,16657,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q11Q45,-,Cytophaga hutchinsonii,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
20,16658,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,Q2G6Y3,-,Novosphingobium aromaticivorans,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
21,16659,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,Q2G6Y3,-,Novosphingobium aromaticivorans,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
22,16660,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15, ,-,Magnetospirillum magnetotacticum,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
23,16661,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15, ,-,Magnetospirillum magnetotacticum,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
24,16662,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,P38708;P39965,-,Saccharomyces cerevisiae,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
25,16663,ATP + L-Cysteine + tRNA(Cys) = Diphosphate + L-Cysteinyl-tRNA(Cys) + AMP,6.1.1.15,P38708;P39965,-,Saccharomyces cerevisiae,37.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
26,59859,ATP + Proline = Diphosphate + Prolyl-AMP,6.1.1.15,P16659,-,Escherichia coli,37.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
27,59860,ATP + Alanine = Diphosphate + Alanyl-AMP,6.1.1.15,P16659,-,Escherichia coli,37.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
28,59861,ATP + Alanine + tRNA(Pro) = Diphosphate + AMP + Alanyl-tRNA(Pro),6.1.1.15,P16659,-,Escherichia coli,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
29,63002,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O26708,-,Methanothermobacter thermautotrophicus,50.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
30,63003,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O26708;O27552,-,Methanothermobacter thermautotrophicus,50.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
31,63004,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O26708;O27552,-,Methanothermobacter thermautotrophicus,50.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
32,63005,ATP + L-Proline + tRNA(Pro) = Diphosphate + AMP + L-Prolyl-tRNA(Pro),6.1.1.15,O26708,-,Methanothermobacter thermautotrophicus,50.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
0,3143,H2O2 = H2O + O2,1.11.1, ,pancreatic islet,Rattus norvegicus,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
1,3144,H2O2 = H2O + O2,1.11.1, ,plasma,Rattus norvegicus,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
2,3145,H2O2 = H2O + O2,1.11.1, ,blood,Rattus norvegicus,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
3,3146,H2O2 = H2O + O2,1.11.1, ,plasma,Rattus norvegicus,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
4,3147,H2O2 = H2O + O2,1.11.1, ,blood,Rattus norvegicus,30.0,7.4, , , , , , , , , , , , , , , , , , , , , , , 
5,5121,H2O2 = H2O + O2,1.14.18.1,O42713,-,Agaricus bisporus,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
6,5127,H2O2 = H2O + O2,1.14.18.1,P84619;P84620;P84619,-,Concholepas concholepas,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
7,5347,H2O2 = H2O + O2,1.11.1.6,P73911,-,Synechocystis sp.,30.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
8,5348,H2O2 = H2O + O2,1.11.1.6,P73911,-,Synechocystis sp.,30.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
9,5349,H2O2 = H2O + O2,1.11.1.6,P73911,-,Synechocystis sp.,30.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
10,6531,H2O2 = H2O + O2,1.11.1.6,Q9C168,aerial mycelium,Neurospora crassa,22.0,-, , , , , , , , , , , , , , , , , , , , , , , 
11,6532,H2O2 = H2O + O2,1.11.1.6,Q9C168,aerial mycelium,Neurospora crassa,22.0,-, , , , , , , , , , , , , , , , , , , , , , , 
12,6533,H2O2 = H2O + O2,1.11.1.6,Q9C168,aerial mycelium,Neurospora crassa,37.0,-, , , , , , , , , , , , , , , , , , , , , , , 
13,6534,H2O2 = H2O + O2,1.11.1.6,Q9C168,aerial mycelium,Neurospora crassa,37.0,-, , , , , , , , , , , , , , , , , , , , , , , 
14,6535,H2O2 = H2O + O2,1.11.1.6,Q9C168,aerial mycelium,Neurospora crassa,37.0,-, , , , , , , , , , , , , , , , , , , , , , , 
